,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category
1474,Order Finished,Edward Nazzal,2009-07-30,7,423487,0.04,16939,Technology,Telephones & Communication
1479,Order Finished,Patrick Bzostek,2010-11-22,25,28481520,0.06,1708891,Technology,Copiers & Fax
1483,Order Finished,Dave Hallsten,2010-11-24,7,75600,0.06,4536,Office Supplies,Paper
1484,Order Finished,Dan Lawera,2010-09-14,16,5653800,0.07,395766,Furniture,Chairs & Chairmats
1486,Order Finished,Bill Stewart,2011-04-02,14,195860,0.07,13710,Office Supplies,Appliances
1489,Order Finished,Nat Carroll,2009-04-10,29,406800,0.04,16272,Office Supplies,Pens & Art Supplies
1491,Order Finished,Naresj Patel,2012-04-06,29,135740,0.07,9502,Office Supplies,Appliances
1493,Order Finished,Joni Sundaresam,2012-09-19,30,637120,0.08,50970,Office Supplies,Appliances
1494,Order Finished,Duane Huffman,2010-03-22,43,3023400,0.02,60468,Office Supplies,Pens & Art Supplies
1495,Order Finished,Theresa Coyne,2010-10-20,43,14573300,0.03,437199,Furniture,Bookcases
1500,Order Finished,Duane Huffman,2010-10-18,31,219560,0.06,13174,Office Supplies,Labels
1501,Order Finished,Gary Hansen,2010-08-04,20,382860,0.06,22972,Office Supplies,Binders & Binder Accessories
1502,Order Finished,Joni Sundaresam,2012-03-08,17,211700,0.1,21170,Technology,Computer Peripherals
1504,Order Finished,Duane Huffman,2009-06-29,34,570120,0.08,45610,Furniture,Office Furnishings
1506,Order Finished,David Smith,2010-12-27,34,253240,0.03,7597,Office Supplies,Rubber Bands
1509,Order Finished,David Philippe,2012-08-19,46,3507500,0.07,245525,Furniture,Office Furnishings
1510,Order Finished,Nat Carroll,2009-03-24,42,1161120,0.1,116112,Office Supplies,Binders & Binder Accessories
1511,Order Finished,Darren Budd,2012-03-29,50,3014320,0.02,60286,Technology,Computer Peripherals
1513,Order Finished,Noah Childs,2010-08-27,39,6921125,0.1,692113,Technology,Telephones & Communication
1514,Order Finished,Duane Huffman,2011-12-10,32,14683920,0.0,0,Furniture,Chairs & Chairmats
1519,Order Returned,Alan Hwang,2010-11-18,33,5403380,0.05,270169,Furniture,Bookcases
1521,Order Finished,Amy Cox,2009-10-23,12,4461940,0.06,267716,Furniture,Chairs & Chairmats
1522,Order Finished,Darren Budd,2010-08-14,13,143140,0.02,2863,Furniture,Bookcases
1523,Order Returned,Mike Caudle,2011-10-18,14,25610500,0.01,256105,Office Supplies,Binders & Binder Accessories
1525,Order Finished,James Lanier,2011-03-04,50,22532800,0.08,1802624,Furniture,Chairs & Chairmats
1526,Order Returned,Erin Creighton,2010-05-25,30,259420,0.08,20754,Office Supplies,Paper
1527,Order Finished,Cari Mac Intyre,2010-08-13,45,323340,0.08,25867,Office Supplies,Paper
1529,Order Finished,Eudokia Martin,2009-04-05,26,1129960,0.1,112996,Office Supplies,Binders & Binder Accessories
1530,Order Finished,Cari Mac Intyre,2012-01-28,41,4761139,0.01,47611,Technology,Telephones & Communication
1534,Order Finished,Brian Stugart,2010-03-24,32,12491520,0.1,1249152,Office Supplies,Storage & Organization
1537,Order Finished,Eudokia Martin,2010-11-30,24,1054500,0.01,10545,Office Supplies,Binders & Binder Accessories
1540,Order Finished,Mike Caudle,2011-04-20,23,980340,0.04,39214,Technology,Computer Peripherals
1541,Order Finished,Andy Reiter,2010-07-14,48,828840,0.04,33154,Technology,Computer Peripherals
1543,Order Finished,Jim Mitchum,2009-09-14,26,250020,0.08,20002,Office Supplies,Paper
1544,Order Finished,Amy Cox,2009-09-12,33,121840,0.07,8529,Office Supplies,Binders & Binder Accessories
1546,Order Finished,Melanie Page,2009-05-05,47,11135580,0.04,445423,Office Supplies,Appliances
1547,Order Returned,Dave Hallsten,2011-04-17,47,3960740,0.03,118822,Office Supplies,Binders & Binder Accessories
1548,Order Finished,Eugene Hildebrand,2009-05-21,44,185720,0.04,7429,Office Supplies,Binders & Binder Accessories
1549,Order Finished,Nancy Lomonaco,2010-06-25,38,18027160,0.04,721086,Office Supplies,Appliances
1551,Order Finished,Andy Yotov,2010-07-17,29,369540,0.0,0,Office Supplies,"Scissors, Rulers & Trimmers"
1554,Order Returned,Naresj Patel,2012-09-04,38,2225080,0.01,22251,Office Supplies,Envelopes
1556,Order Finished,Roy French,2009-04-09,43,8150752,0.05,407538,Technology,Telephones & Communication
1557,Order Finished,Aimee Bixby,2011-02-24,46,3473060,0.1,347306,Office Supplies,Appliances
1563,Order Finished,Eugene Hildebrand,2009-09-12,4,691140,0.06,41468,Office Supplies,Storage & Organization
1565,Order Finished,Jonathan Howell,2012-01-31,21,1575260,0.05,78763,Technology,Computer Peripherals
1566,Order Finished,Brian Stugart,2011-10-09,21,2446220,0.0,0,Office Supplies,Appliances
1567,Order Finished,Magdelene Morse,2012-02-02,36,132820,0.04,5313,Office Supplies,Rubber Bands
1568,Order Finished,Edward Becker,2009-02-10,22,276480,0.06,16589,Office Supplies,Binders & Binder Accessories
1571,Order Finished,Christine Phan,2011-01-10,36,376680,0.04,15067,Office Supplies,Binders & Binder Accessories
1573,Order Finished,Ted Trevino,2012-04-26,40,6120740,0.07,428452,Technology,Computer Peripherals
1574,Order Finished,Tamara Dahlen,2010-12-21,15,204640,0.08,16371,Office Supplies,Paper
1575,Order Finished,Eileen Kiefer,2011-10-03,48,1891080,0.03,56732,Office Supplies,Paper
1577,Order Finished,David Philippe,2012-10-06,50,775580,0.01,7756,Office Supplies,Paper
1579,Order Finished,Anemone Ratner,2010-03-09,3,46760,0.08,3741,Office Supplies,Paper
1581,Order Finished,Melanie Page,2011-12-07,24,764380,0.03,22931,Office Supplies,Appliances
1582,Order Finished,Cynthia Arntzen,2009-01-20,27,7940660,0.02,158813,Furniture,Bookcases
1583,Order Finished,Erin Smith,2010-05-14,39,371380,0.02,7428,Office Supplies,Pens & Art Supplies
1586,Order Finished,Dean Braden,2011-03-13,6,857446,0.06,51447,Technology,Telephones & Communication
1590,Order Finished,Joni Sundaresam,2010-02-09,4,94060,0.08,7525,Office Supplies,Paper
1591,Order Finished,Tamara Chand,2011-05-03,16,225820,0.04,9033,Office Supplies,Paper
1594,Order Finished,George Ashbrook,2010-11-19,13,4169920,0.0,0,Furniture,Chairs & Chairmats
1596,Order Finished,Nat Carroll,2012-11-13,43,3409160,0.02,68183,Office Supplies,Appliances
1602,Order Finished,Edward Nazzal,2009-12-06,43,5960300,0.05,298015,Furniture,Office Furnishings
1605,Order Finished,Darren Budd,2010-03-05,32,106680,0.04,4267,Furniture,Office Furnishings
1606,Order Finished,Jesus Ocampo,2009-06-18,31,8967840,0.07,627749,Technology,Computer Peripherals
1607,Order Finished,Allen Golden,2012-05-07,10,100840,0.06,6050,Office Supplies,Binders & Binder Accessories
1608,Order Finished,Cynthia Arntzen,2012-04-01,35,308000,0.08,24640,Office Supplies,Pens & Art Supplies
1609,Order Finished,Eileen Kiefer,2011-07-17,6,921420,0.02,18428,Office Supplies,Storage & Organization
1612,Order Finished,Eileen Kiefer,2009-03-28,16,4730860,0.04,189234,Technology,Office Machines
1613,Order Returned,George Bell,2012-12-03,4,33820,0.08,2706,Office Supplies,Labels
1615,Order Returned,Cynthia Arntzen,2009-11-25,4,58480,0.01,585,Office Supplies,Paper
1616,Order Finished,Brian Stugart,2012-09-03,31,1693700,0.03,50811,Technology,Computer Peripherals
1618,Order Finished,Darren Budd,2010-03-17,29,1461020,0.08,116882,Furniture,Office Furnishings
1620,Order Returned,Edward Nazzal,2011-05-25,48,408300,0.07,28581,Office Supplies,Binders & Binder Accessories
1623,Order Returned,Nancy Lomonaco,2009-07-21,12,2489440,0.04,99578,Technology,Computer Peripherals
1625,Order Finished,Theresa Coyne,2012-11-08,28,224100,0.04,8964,Office Supplies,Paper
1626,Order Finished,Lena Creighton,2010-06-09,26,156440,0.03,4693,Office Supplies,Labels
1627,Order Returned,David Philippe,2012-03-04,34,1647960,0.09,148316,Office Supplies,Pens & Art Supplies
1628,Order Finished,Lena Creighton,2012-12-21,13,2780340,0.07,194624,Office Supplies,Storage & Organization
1632,Order Finished,Jeremy Ellison,2010-03-24,38,7845920,0.04,313837,Technology,Computer Peripherals
1634,Order Finished,Cari Mac Intyre,2010-11-04,23,2473908,0.06,148434,Technology,Telephones & Communication
1640,Order Finished,Eugene Hildebrand,2012-04-25,5,87220,0.04,3489,Furniture,Office Furnishings
1641,Order Finished,Noel Staavos,2009-08-18,34,10884284,0.0,0,Technology,Telephones & Communication
1642,Order Finished,Philip Brown,2009-04-02,40,28151980,0.08,2252158,Furniture,Chairs & Chairmats
1645,Order Finished,Erin Ashbrook,2011-03-17,12,902180,0.1,90218,Office Supplies,Envelopes
1648,Order Returned,Cari Mac Intyre,2011-03-24,5,166600,0.09,14994,Technology,Telephones & Communication
1649,Order Returned,Alan Hwang,2012-05-02,48,6011480,0.02,120230,Office Supplies,Appliances
1652,Order Finished,Jonathan Howell,2009-09-19,43,225260,0.08,18021,Office Supplies,Envelopes
1654,Order Returned,Duane Huffman,2011-08-28,32,395860,0.06,23752,Office Supplies,Paper
1656,Order Finished,Edward Nazzal,2010-01-22,1,70280,0.02,1406,Office Supplies,Binders & Binder Accessories
1660,Order Finished,Dave Hallsten,2009-07-04,21,1029060,0.04,41162,Office Supplies,Envelopes
1662,Order Finished,Jim Mitchum,2010-05-11,34,959680,0.02,19194,Office Supplies,Storage & Organization
1664,Order Returned,Darren Budd,2009-01-05,43,156160,0.08,12493,Furniture,Chairs & Chairmats
1667,Order Finished,Darren Budd,2010-01-03,37,588960,0.08,47117,Technology,Computer Peripherals
1668,Order Finished,Edward Becker,2009-07-26,16,177680,0.02,3554,Office Supplies,Paper
1670,Order Finished,Anemone Ratner,2012-02-01,48,725420,0.07,50779,Office Supplies,Binders & Binder Accessories
1674,Order Finished,Eugene Hildebrand,2012-05-13,27,10615000,0.09,955350,Furniture,Chairs & Chairmats
1677,Order Finished,Edward Becker,2011-10-07,21,137060,0.09,12335,Office Supplies,Pens & Art Supplies
1679,Order Finished,Jim Mitchum,2012-12-10,12,1010400,0.05,50520,Office Supplies,Appliances
1682,Order Returned,Thomas Boland,2011-07-15,6,56020,0.09,5042,Office Supplies,Labels
1683,Order Returned,Olvera Toch,2009-02-12,1,38640,0.03,1159,Office Supplies,Binders & Binder Accessories
1684,Order Finished,Lena Radford,2012-12-27,13,1519880,0.09,136789,Furniture,Chairs & Chairmats
1687,Order Returned,Todd Boyes,2012-09-13,41,12222337,0.06,733340,Technology,Telephones & Communication
1689,Order Finished,Michael Dominguez,2010-07-25,4,58840,0.06,3530,Office Supplies,Labels
1690,Order Returned,Sean Miller,2012-07-29,2,18500,0.01,185,Office Supplies,Labels
1693,Order Finished,Lena Radford,2011-02-20,3,145260,0.07,10168,Office Supplies,Pens & Art Supplies
1694,Order Returned,Todd Boyes,2009-12-13,22,237120,0.06,14227,Office Supplies,Binders & Binder Accessories
1695,Order Finished,Michelle Ellison,2012-04-24,27,236360,0.06,14182,Office Supplies,Appliances
1698,Order Finished,Sean Christensen,2011-09-04,18,67920,0.0,0,Office Supplies,Pens & Art Supplies
1701,Order Finished,Scot Coram,2011-10-23,44,2204560,0.03,66137,Office Supplies,Envelopes
1702,Order Finished,Natalie Fritzler,2009-03-01,10,1733320,0.09,155999,Technology,Office Machines
1704,Order Finished,Sean Miller,2009-11-22,48,2994635,0.01,29946,Technology,Telephones & Communication
1705,Order Returned,Olvera Toch,2011-11-10,35,2308280,0.07,161580,Technology,Computer Peripherals
1707,Order Finished,Michelle Ellison,2010-11-20,44,1228680,0.02,24574,Office Supplies,Storage & Organization
1708,Order Returned,Michael Dominguez,2012-01-09,39,557804,0.04,22312,Technology,Telephones & Communication
1711,Order Finished,Patricia Hirasaki,2012-07-21,31,960860,0.06,57652,Furniture,Office Furnishings
1712,Order Finished,Maria Zettner,2012-07-15,31,434280,0.0,0,Office Supplies,Paper
1716,Order Finished,Maria Zettner,2009-04-16,6,29071600,0.05,1453580,Technology,Office Machines
1718,Order Finished,Sean Miller,2010-10-09,1,723880,0.05,36194,Furniture,Chairs & Chairmats
1724,Order Finished,Sean Christensen,2009-10-13,37,2276860,0.01,22769,Technology,Computer Peripherals
1725,Order Finished,Lena Radford,2009-12-22,43,4927200,0.03,147816,Office Supplies,Paper
1727,Order Finished,Michael Dominguez,2009-08-05,44,1268240,0.04,50730,Office Supplies,Appliances
1729,Order Finished,Phillip Breyer,2010-09-21,41,590240,0.0,0,Office Supplies,Paper
1730,Order Finished,Michael Dominguez,2010-08-03,16,263440,0.09,23710,Technology,Computer Peripherals
1731,Order Finished,Scot Coram,2012-07-25,10,10113780,0.02,202276,Furniture,Chairs & Chairmats
1732,Order Finished,Michelle Ellison,2010-01-26,9,392240,0.01,3922,Technology,Computer Peripherals
1734,Order Finished,Maria Zettner,2011-06-19,34,429280,0.08,34342,Office Supplies,Paper
1735,Order Finished,Nathan Gelder,2010-06-09,17,506760,0.0,0,Office Supplies,"Scissors, Rulers & Trimmers"
1738,Order Finished,Nathan Gelder,2011-02-15,29,15674880,0.1,1567488,Office Supplies,Appliances
1740,Order Finished,Shahid Collister,2009-11-08,2,283180,0.05,14159,Office Supplies,Appliances
1742,Order Finished,Victoria Wilson,2009-10-28,14,734220,0.09,66080,Office Supplies,Binders & Binder Accessories
1743,Order Finished,Thomas Boland,2012-06-08,10,253580,0.04,10143,Office Supplies,Appliances
1744,Order Finished,Michael Dominguez,2010-12-02,23,2393720,0.06,143623,Technology,Computer Peripherals
1745,Order Finished,Phillip Breyer,2012-10-17,49,2710940,0.04,108438,Office Supplies,Binders & Binder Accessories
1749,Order Finished,Victoria Wilson,2011-11-10,21,5463460,0.07,382442,Technology,Telephones & Communication
1752,Order Finished,Victoria Wilson,2009-03-20,11,200720,0.02,4014,Office Supplies,Paper
1754,Order Returned,Michelle Ellison,2010-02-17,31,17910680,0.1,1791068,Furniture,Chairs & Chairmats
1755,Order Finished,Olvera Toch,2009-08-02,42,1154840,0.0,0,Office Supplies,Binders & Binder Accessories
1756,Order Finished,Sean Christensen,2009-03-17,25,164420,0.04,6577,Office Supplies,Paper
1758,Order Finished,Maria Zettner,2012-09-02,34,6260403,0.07,438228,Technology,Telephones & Communication
1760,Order Finished,Michelle Ellison,2009-04-06,39,4827060,0.06,289624,Furniture,Office Furnishings
1762,Order Finished,Thomas Boland,2009-04-01,23,530620,0.09,47756,Office Supplies,Binders & Binder Accessories
1763,Order Finished,Patricia Hirasaki,2010-08-05,44,1572520,0.01,15725,Technology,Computer Peripherals
1766,Order Returned,Michelle Ellison,2010-05-10,50,884620,0.02,17692,Furniture,Office Furnishings
1767,Order Returned,Sean Miller,2012-12-09,4,229660,0.04,9186,Technology,Computer Peripherals
1768,Order Finished,Patrick O'Donnell,2012-04-09,49,3069400,0.07,214858,Technology,Computer Peripherals
1772,Order Returned,Olvera Toch,2011-06-01,11,246680,0.07,17268,Office Supplies,Paper
1773,Order Returned,Michelle Ellison,2009-12-02,25,186440,0.06,11186,Office Supplies,Rubber Bands
1776,Order Finished,Scot Coram,2012-01-05,50,9924100,0.08,793928,Technology,Office Machines
1779,Order Finished,Sean Miller,2012-07-22,45,811200,0.07,56784,Office Supplies,Binders & Binder Accessories
1781,Order Finished,Lena Radford,2010-01-20,24,309980,0.07,21699,Office Supplies,Appliances
1783,Order Finished,Michelle Ellison,2011-09-10,2,501400,0.03,15042,Furniture,Chairs & Chairmats
1785,Order Finished,Patrick O'Donnell,2012-12-06,38,288060,0.03,8642,Office Supplies,Binders & Binder Accessories
1787,Order Returned,Nathan Gelder,2010-03-07,43,4757640,0.02,95153,Office Supplies,Binders & Binder Accessories
1788,Order Finished,Patricia Hirasaki,2010-02-27,24,614980,0.01,6150,Furniture,Office Furnishings
1791,Order Finished,Noel Staavos,2009-12-05,2,42880,0.02,858,Office Supplies,Paper
1792,Order Finished,Keith Herrera,2010-06-27,22,3119551,0.03,93587,Technology,Telephones & Communication
1795,Order Finished,Raymond Fair,2011-06-05,46,607240,0.02,12145,Technology,Computer Peripherals
1797,Order Finished,Karl Brown,2009-09-19,35,2284720,0.02,45694,Technology,Computer Peripherals
1798,Order Finished,Natalie Webber,2010-02-25,14,2758675,0.08,220694,Technology,Telephones & Communication
1801,Order Finished,Barry Franz,2010-11-29,14,923100,0.09,83079,Furniture,Office Furnishings
1804,Order Finished,Eric Barreto,2009-12-28,6,355340,0.03,10660,Office Supplies,Binders & Binder Accessories
1805,Order Finished,Chuck Sachs,2009-03-15,2,401506,0.09,36136,Technology,Telephones & Communication
1808,Order Finished,Karl Brown,2011-11-16,24,79380,0.05,3969,Office Supplies,Pens & Art Supplies
1809,Order Finished,Bobby Trafton,2012-07-19,50,17064304,0.04,682572,Furniture,Tables
1811,Order Finished,Rick Duston,2012-09-19,31,6162942,0.09,554665,Technology,Telephones & Communication
1813,Order Finished,Nora Paige,2010-01-03,19,2433000,0.1,243300,Office Supplies,Binders & Binder Accessories
1815,Order Finished,Harold Dahlen,2010-05-17,37,996560,0.01,9966,Office Supplies,Storage & Organization
1821,Order Finished,Rick Duston,2009-04-22,43,1891800,0.08,151344,Office Supplies,Pens & Art Supplies
1822,Order Finished,Eleni Mc Crary,2011-07-16,42,142640,0.08,11411,Office Supplies,Pens & Art Supplies
1823,Order Finished,Frank Atkinson,2010-06-30,33,1501720,0.0,0,Office Supplies,Binders & Binder Accessories
1824,Order Finished,Astrea Jones,2009-07-24,14,430620,0.09,38756,Office Supplies,Binders & Binder Accessories
1826,Order Finished,Cathy Hwang,2009-02-26,20,251680,0.1,25168,Office Supplies,Paper
1830,Order Finished,Fred Mc Math,2010-09-17,1,59300,0.05,2965,Office Supplies,Storage & Organization
1832,Order Finished,Tom Prescott,2009-06-10,7,114060,0.0,0,Technology,Computer Peripherals
1840,Order Finished,Tracy Poddar,2011-09-02,21,311460,0.03,9344,Office Supplies,Paper
1841,Order Finished,Michael Paige,2012-10-09,42,1586080,0.1,158608,Office Supplies,Binders & Binder Accessories
1844,Order Finished,Maureen Gastineau,2012-09-14,18,94800,0.03,2844,Office Supplies,Pens & Art Supplies
1846,Order Finished,Alex Grayson,2010-02-23,46,322560,0.01,3226,Office Supplies,Rubber Bands
1847,Order Finished,Muhammed Yedwab,2010-03-12,29,24197740,0.04,967910,Furniture,Tables
1849,Order Finished,Astrea Jones,2012-06-11,2,50180,0.07,3513,Office Supplies,Binders & Binder Accessories
1851,Order Finished,Dan Campbell,2012-10-04,15,1005600,0.0,0,Office Supplies,Envelopes
1857,Order Finished,Eric Murdock,2012-02-09,1,122196,0.02,2444,Technology,Telephones & Communication
1861,Order Finished,Nicole Brennan,2010-08-04,1,284480,0.08,22758,Furniture,Chairs & Chairmats
1864,Order Finished,Elpida Rittenbach,2010-01-08,19,177220,0.01,1772,Office Supplies,Binders & Binder Accessories
1865,Order Finished,David Wiener,2010-09-15,50,672120,0.01,6721,Office Supplies,Paper
1866,Order Finished,Elpida Rittenbach,2009-06-02,50,955060,0.09,85955,Office Supplies,Envelopes
1867,Order Finished,David Wiener,2010-02-25,3,630560,0.08,50445,Technology,Office Machines
1869,Order Finished,Elpida Rittenbach,2010-07-25,18,4778600,0.01,47786,Furniture,Chairs & Chairmats
1870,Order Finished,David Wiener,2011-01-20,7,257240,0.07,18007,Furniture,Office Furnishings
1872,Order Returned,Peter Mc Vee,2011-03-17,35,87140,0.1,8714,Office Supplies,Rubber Bands
1873,Order Finished,Karen Carlisle,2009-09-30,29,2387300,0.07,167111,Office Supplies,Binders & Binder Accessories
1874,Order Finished,Stefania Perrino,2011-05-19,4,80040,0.02,1601,Office Supplies,Pens & Art Supplies
1875,Order Finished,Jay Fine,2009-04-08,46,3791100,0.06,227466,Technology,Computer Peripherals
1878,Order Finished,George Zrebassa,2012-09-22,48,538740,0.05,26937,Office Supplies,Binders & Binder Accessories
1879,Order Finished,Karl Brown,2012-06-02,39,14677580,0.03,440327,Technology,Office Machines
1881,Order Finished,Alyssa Tate,2012-02-09,2,763200,0.1,76320,Office Supplies,Storage & Organization
1885,Order Returned,Natalie Webber,2012-06-27,49,590480,0.08,47238,Office Supplies,Binders & Binder Accessories
1886,Order Finished,Damala Kotsonis,2012-06-19,4,962540,0.02,19251,Furniture,Chairs & Chairmats
1887,Order Finished,Karen Carlisle,2012-04-04,16,453620,0.05,22681,Office Supplies,Binders & Binder Accessories
1891,Order Returned,Berenike Kampe,2011-10-18,46,315740,0.0,0,Office Supplies,Pens & Art Supplies
1892,Order Returned,Dean Percer,2012-06-24,4,3321720,0.04,132869,Office Supplies,Storage & Organization
1893,Order Returned,Muhammed Lee,2012-08-12,22,18124880,0.05,906244,Office Supplies,Binders & Binder Accessories
1894,Order Finished,Noel Staavos,2010-10-16,3,346660,0.09,31199,Office Supplies,Storage & Organization
1895,Order Finished,Bobby Trafton,2009-06-22,23,4867100,0.05,243355,Technology,Telephones & Communication
1896,Order Returned,Karl Brown,2009-06-15,14,156880,0.09,14119,Office Supplies,Binders & Binder Accessories
1897,Order Returned,Erica Hernandez,2011-12-21,28,458860,0.08,36709,Office Supplies,Envelopes
1898,Order Finished,Tony Molinari,2011-06-28,36,246260,0.05,12313,Office Supplies,Rubber Bands
1899,Order Finished,Elizabeth Moffitt,2009-08-14,15,4345030,0.06,260702,Technology,Telephones & Communication
1904,Order Finished,Deanra Eno,2012-08-05,6,1503420,0.09,135308,Office Supplies,Appliances
1906,Order Finished,Chuck Sachs,2011-12-08,11,366640,0.04,14666,Technology,Office Machines
1907,Order Finished,Chris Cortes,2009-01-19,5,197320,0.1,19732,Office Supplies,Paper
1909,Order Finished,Chuck Sachs,2010-04-29,5,4722200,0.01,47222,Technology,Copiers & Fax
1912,Order Finished,Eric Barreto,2010-01-15,33,155100,0.0,0,Technology,Computer Peripherals
1913,Order Finished,Noel Staavos,2009-06-15,50,659820,0.04,26393,Office Supplies,Paper
1919,Order Finished,Ann Blume,2011-01-16,12,91260,0.02,1825,Office Supplies,Labels
1920,Order Finished,Janet Martin,2010-09-12,21,7370760,0.0,0,Furniture,Office Furnishings
1922,Order Returned,Alyssa Tate,2011-12-31,2,121125,0.02,2423,Technology,Telephones & Communication
1927,Order Returned,Carlos Meador,2010-03-09,42,6373540,0.09,573619,Office Supplies,Appliances
1928,Order Finished,Dave Poirier,2010-10-31,23,1868140,0.07,130770,Technology,Computer Peripherals
1929,Order Finished,Christy Brittain,2009-07-29,35,350160,0.07,24511,Technology,Computer Peripherals
1930,Order Finished,Troy Staebel,2009-07-26,18,580140,0.07,40610,Office Supplies,Storage & Organization
1931,Order Finished,Bradley Drucker,2009-01-11,20,9062680,0.08,725014,Technology,Office Machines
1932,Order Finished,Mark Haberlin,2011-02-02,27,924732,0.1,92473,Technology,Telephones & Communication
1935,Order Finished,Barry Franz,2010-09-10,4,116880,0.05,5844,Office Supplies,Appliances
1938,Order Finished,Eleni Mc Crary,2010-09-29,28,515800,0.0,0,Office Supplies,Envelopes
1944,Order Finished,Emily Burns,2012-04-22,9,89020,0.01,890,Office Supplies,Appliances
1945,Order Finished,Troy Staebel,2010-11-17,23,436580,0.09,39292,Technology,Office Machines
1949,Order Returned,Frank Atkinson,2011-06-14,1,20960,0.0,0,Office Supplies,Paper
1950,Order Returned,Deanra Eno,2009-10-04,6,35180,0.1,3518,Office Supplies,Appliances
1951,Order Finished,Michael Oakman,2011-08-21,1,23620,0.01,236,Furniture,Office Furnishings
1955,Order Finished,Alex Grayson,2010-03-09,28,328440,0.1,32844,Office Supplies,Paper
1956,Order Finished,Erica Hernandez,2012-10-30,18,265560,0.09,23900,Office Supplies,Paper
1957,Order Finished,David Flashing,2010-10-19,12,163740,0.07,11462,Office Supplies,Paper
1961,Order Finished,Sara Luxemburg,2009-05-11,14,114560,0.02,2291,Office Supplies,Binders & Binder Accessories
1963,Order Finished,Eleni Mc Crary,2011-12-21,49,53245100,0.08,4259608,Furniture,Tables
1965,Order Finished,Alyssa Tate,2011-10-26,19,534000,0.09,48060,Office Supplies,Binders & Binder Accessories
1966,Order Finished,Michael Kennedy,2009-08-31,25,531500,0.06,31890,Office Supplies,Binders & Binder Accessories
1968,Order Finished,Bobby Elias,2010-01-17,26,171420,0.08,13714,Office Supplies,Pens & Art Supplies
1969,Order Finished,Christy Brittain,2009-06-06,39,209940,0.07,14696,Office Supplies,Pens & Art Supplies
1970,Order Returned,Joni Wasserman,2011-05-08,29,369480,0.0,0,Technology,Computer Peripherals
1971,Order Finished,Karen Ferguson,2009-05-19,3,1053520,0.07,73746,Office Supplies,Binders & Binder Accessories
1972,Order Finished,Mark Haberlin,2012-07-02,18,3539800,0.05,176990,Office Supplies,Storage & Organization
1974,Order Returned,Giulietta Dortch,2011-07-27,37,222780,0.02,4456,Office Supplies,Pens & Art Supplies
1975,Order Finished,Bradley Talbott,2011-11-26,16,108640,0.09,9778,Office Supplies,Rubber Bands
1976,Order Finished,Bradley Talbott,2012-11-08,29,4371220,0.01,43712,Furniture,Tables
1978,Order Finished,Deborah Brumfield,2010-01-11,48,50624000,0.01,506240,Technology,Office Machines
1979,Order Finished,Maureen Gastineau,2010-02-13,12,152080,0.04,6083,Office Supplies,Paper
1980,Order Finished,Julia Barnett,2012-12-12,24,8816540,0.04,352662,Furniture,Chairs & Chairmats
1982,Order Finished,Liz Willingham,2010-12-28,21,308700,0.0,0,Office Supplies,Paper
1983,Order Finished,Craig Yedwab,2010-10-16,9,1768255,0.06,106095,Technology,Telephones & Communication
1984,Order Finished,Andy Reiter,2010-03-16,16,1385460,0.01,13855,Office Supplies,Paper
1985,Order Finished,Ben Peterman,2009-11-04,6,44380,0.01,444,Office Supplies,Pens & Art Supplies
1990,Order Finished,Liz Willingham,2011-12-22,26,622760,0.06,37366,Office Supplies,Envelopes
1993,Order Finished,Denise Leinenbach,2009-12-19,30,29844320,0.1,2984432,Furniture,Tables
1995,Order Finished,Alan Shonely,2011-08-12,36,480280,0.06,28817,Office Supplies,Paper
1998,Order Finished,Becky Martin,2009-04-14,18,8425504,0.06,505530,Furniture,Tables
1999,Order Finished,Astrea Jones,2011-02-13,23,254340,0.1,25434,Office Supplies,Binders & Binder Accessories
2000,Order Finished,Peter Mc Vee,2009-02-24,17,5091780,0.01,50918,Office Supplies,Storage & Organization
2002,Order Finished,Dave Poirier,2009-04-06,29,130320,0.03,3910,Office Supplies,Rubber Bands
2003,Order Finished,Benjamin Venier,2012-05-13,46,5029025,0.04,201161,Technology,Telephones & Communication
2006,Order Finished,Nora Paige,2012-09-04,20,5012760,0.07,350893,Furniture,Tables
2007,Order Finished,Robert Barroso,2011-04-29,49,3918860,0.09,352697,Office Supplies,Appliances
2009,Order Finished,Michael Kennedy,2012-05-13,22,2236503,0.1,223650,Technology,Telephones & Communication
2013,Order Finished,Bill Tyler,2010-05-14,36,400160,0.05,20008,Office Supplies,Paper
2015,Order Returned,Craig Yedwab,2010-08-17,18,289680,0.0,0,Office Supplies,Rubber Bands
2018,Order Finished,Fred Mc Math,2010-11-30,50,3688520,0.03,110656,Office Supplies,Storage & Organization
2020,Order Finished,Tony Molinari,2009-07-28,46,11794940,0.0,0,Furniture,Chairs & Chairmats
2025,Order Finished,Bobby Trafton,2010-06-10,46,5053080,0.04,202123,Technology,Telephones & Communication
2026,Order Finished,Katrina Willman,2012-02-15,31,412573,0.05,20629,Technology,Telephones & Communication
2027,Order Finished,Michael Paige,2012-06-16,24,10905800,0.07,763406,Office Supplies,Storage & Organization
2029,Order Finished,Carlos Meador,2010-09-26,6,1526896,0.05,76345,Furniture,Tables
2034,Order Finished,Katherine Murray,2011-11-30,17,1048424,0.04,41937,Technology,Telephones & Communication
2038,Order Finished,Noel Staavos,2009-07-08,23,278900,0.02,5578,Office Supplies,Binders & Binder Accessories
